Oyuncu,Takim,Ana_Mevki,Yas,Piyasa_Degeri_Euro,Gol,Asist,Gol_Beklentisi_xG,Mac_Sayisi,Oynadigi_Sure_Dk,Uyruk,Genel_Pozisyon,Lig,Ilk_11,90_Dk_Sayisi,Skor_Katkisi,Penaltisiz_Gol,Penalti_Gol,Penalti_Kullanimi,Sari_Kart,Kirmizi_Kart,Penaltisiz_Gol_Beklentisi_npxG,Asist_Beklentisi_xAG,Penaltisiz_Toplam_Beklenti,Top_Surme_Mesafe,Ileri_Pas_Sayisi,Ileri_Pas_Alma,Mac_Basi_Gol,Mac_Basi_Asist,Mac_Basi_Skor_Katkisi,Mac_Basi_Penaltisiz_Gol,Mac_Basi_Penaltisiz_Skor,Mac_Basi_xG,Mac_Basi_Asist_Beklentisi,Mac_Basi_Toplam_Beklenti,Mac_Basi_Penaltisiz_xG,Mac_Basi_Penaltisiz_Toplam_Beklenti,Boy_m,Ayak,Yas_Detay,Top_Calma_Toplam,Kazanilan_Top_Calma,Top_Calma_Defans_Bolgesi,Top_Calma_Orta_Saha,Top_Calma_Hucum_Bolgesi,Dribbling_Kesme,Calim_Yeme,Blok_Toplam,Sut_Blogu,Pas_Blogu,Pas_Arasi,Uzaklastirma,Hata_Gol_Yediren
Declan Rice,Arsenal,Merkez Orta Saha,26.0,120000000.0,2.0,3.0,1.6,16.0,1336.0,ENG,MF,Premier League (ING),15.0,14.8,5.0,2.0,0.0,0.0,1.0,0.0,1.6,3.0,4.6,42.0,106.0,40.0,0.13,0.2,0.34,0.13,0.34,0.11,0.2,0.31,0.11,0.31,1.88,Sag ayak,26-337,26.0,15.0,12.0,10.0,4.0,12.0,9.0,15.0,7.0,8.0,12.0,35.0,0.0
Martin Zubimendi,Arsenal,On Libero,26.0,75000000.0,2.0,1.0,0.6,16.0,1319.0,ESP,MF,Premier League (ING),15.0,14.7,3.0,2.0,0.0,0.0,3.0,0.0,0.6,0.9,1.5,20.0,85.0,12.0,0.14,0.07,0.2,0.14,0.2,0.04,0.06,0.1,0.04,0.1,1.81,Sag ayak,26-318,25.0,14.0,8.0,16.0,1.0,14.0,9.0,14.0,1.0,13.0,19.0,29.0,2.0
Riccardo Calafiori,Arsenal,Sol Bek,23.0,50000000.0,1.0,2.0,2.5,15.0,1165.0,ITA,DF,Premier League (ING),15.0,12.9,3.0,1.0,0.0,0.0,5.0,0.0,2.5,0.5,3.0,22.0,46.0,55.0,0.08,0.15,0.23,0.08,0.23,0.19,0.04,0.23,0.19,0.23,1.88,Sol ayak,23-212,27.0,16.0,13.0,7.0,7.0,15.0,6.0,9.0,1.0,8.0,13.0,41.0,1.0
Jurrien Timber,Arsenal,Sag Bek,24.0,70000000.0,2.0,2.0,3.2,16.0,1289.0,NED,DF,Premier League (ING),14.0,14.3,4.0,2.0,0.0,0.0,2.0,0.0,3.2,0.7,3.9,23.0,92.0,72.0,0.14,0.14,0.28,0.14,0.28,0.22,0.05,0.27,0.22,0.27,1.79,Sag ayak,24-183,40.0,24.0,21.0,12.0,7.0,13.0,5.0,12.0,2.0,10.0,12.0,34.0,0.0
Bukayo Saka,Arsenal,Sag Kanat,24.0,130000000.0,4.0,1.0,3.9,14.0,1059.0,ENG,FW,Premier League (ING),12.0,11.8,5.0,3.0,1.0,1.0,1.0,0.0,3.1,3.4,6.5,53.0,29.0,161.0,0.34,0.08,0.42,0.25,0.34,0.33,0.29,0.62,0.26,0.56,1.78,Sol ayak,24-103,18.0,7.0,5.0,7.0,6.0,9.0,8.0,14.0,0.0,14.0,3.0,6.0,1.0
Gabriel Magalhaes,Arsenal,Stoper,27.0,75000000.0,1.0,2.0,0.8,11.0,990.0,BRA,DF,Premier League (ING),11.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.8,1.4,2.2,6.0,39.0,1.0,0.09,0.18,0.27,0.09,0.27,0.07,0.13,0.2,0.07,0.2,1.9,Sol ayak,27-363,12.0,6.0,8.0,4.0,0.0,4.0,3.0,17.0,13.0,4.0,10.0,65.0,2.0
Viktor Gyokeres,Arsenal,Santrafor,27.0,70000000.0,4.0,0.0,4.6,14.0,952.0,SWE,FW,Premier League (ING),11.0,10.6,4.0,3.0,1.0,1.0,2.0,0.0,3.8,1.1,4.9,11.0,12.0,61.0,0.38,0.0,0.38,0.28,0.28,0.44,0.1,0.54,0.36,0.46,1.89,Sag ayak,27-196,3.0,2.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,5.0,0.0,8.0,0.0
Eberechi Eze,Arsenal,On Numara,27.0,65000000.0,4.0,2.0,2.3,14.0,910.0,ENG,MF,Premier League (ING),11.0,10.1,6.0,4.0,0.0,0.0,0.0,0.0,2.3,1.2,3.5,24.0,42.0,44.0,0.4,0.2,0.59,0.4,0.59,0.22,0.12,0.34,0.22,0.34,1.78,Sag ayak,27-171,10.0,6.0,3.0,7.0,0.0,2.0,4.0,3.0,1.0,2.0,5.0,7.0,0.0
William Saliba,Arsenal,Stoper,24.0,90000000.0,0.0,0.0,0.3,12.0,904.0,FRA,DF,Premier League (ING),11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,4.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,1.92,Sag ayak,24-268,12.0,6.0,8.0,4.0,0.0,6.0,3.0,4.0,4.0,0.0,5.0,45.0,0.0
Leandro Trossard,Arsenal,Sol Kanat,31.0,20000000.0,4.0,3.0,2.5,12.0,794.0,BEL,FW,Premier League (ING),8.0,8.8,7.0,4.0,0.0,0.0,0.0,0.0,2.5,1.2,3.7,24.0,36.0,88.0,0.45,0.34,0.79,0.45,0.79,0.28,0.14,0.42,0.28,0.42,1.72,Sag ayak,31-013,8.0,6.0,2.0,6.0,0.0,3.0,5.0,9.0,0.0,9.0,4.0,4.0,0.0
Mikel Merino,Arsenal,Merkez Orta Saha,29.0,30000000.0,3.0,3.0,1.9,15.0,764.0,ESP,FW,Premier League (ING),8.0,8.5,6.0,3.0,0.0,0.0,0.0,0.0,1.9,0.9,2.8,10.0,26.0,30.0,0.35,0.35,0.71,0.35,0.71,0.23,0.1,0.33,0.23,0.33,1.89,Sol ayak,29-178,18.0,10.0,3.0,9.0,6.0,6.0,6.0,10.0,2.0,8.0,4.0,15.0,0.0
